Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,0.154881,0.160695,0.145516,0.154852,0.154852,92095642
2022-05-25,0.154843,0.158289,0.149244,0.150835,0.150835,78432168
2022-05-26,0.150922,0.153429,0.133814,0.139047,0.139047,90436524
2022-05-27,0.138875,0.144009,0.132003,0.135368,0.135368,79388425
2022-05-28,0.136577,0.142051,0.132739,0.137629,0.137629,44611670
2022-05-29,0.137621,0.142533,0.134352,0.142310,0.142310,39010411
2022-05-30,0.142327,0.157153,0.141474,0.156609,0.156609,71797021
2022-05-31,0.156635,0.164469,0.149500,0.162487,0.162487,89832590
2022-06-01,0.162577,0.164518,0.143779,0.147411,0.147411,100732003
2022-06-02,0.147359,0.152699,0.141444,0.152621,0.152621,61267642
2022-06-03,0.152646,0.152646,0.142310,0.148038,0.148038,48021805
2022-06-04,0.148000,0.174337,0.145352,0.165185,0.165185,168185497
2022-06-05,0.165128,0.172023,0.156378,0.156383,0.156383,76012111
2022-06-06,0.156413,0.168753,0.154846,0.158588,0.158588,70197465
2022-06-07,0.158619,0.159044,0.145889,0.154721,0.154721,71395375
2022-06-08,0.154706,0.155852,0.148236,0.148943,0.148943,47515299
2022-06-09,0.148953,0.151872,0.144169,0.147799,0.147799,71742456
2022-06-10,0.147808,0.149070,0.136233,0.137270,0.137270,62472093
2022-06-11,0.137261,0.141242,0.120627,0.123076,0.123076,60352781
2022-06-12,0.123094,0.124131,0.110921,0.113089,0.113089,67111984
2022-06-13,0.112770,0.113144,0.096613,0.105803,0.105803,107047622
2022-06-14,0.105808,0.113483,0.097391,0.105253,0.105253,92258879
2022-06-15,0.105206,0.111845,0.090749,0.111639,0.111639,87096979
2022-06-16,0.111747,0.115127,0.095129,0.096933,0.096933,47948543
2022-06-17,0.096997,0.101759,0.096498,0.098806,0.098806,36258438
2022-06-18,0.098764,0.100210,0.090060,0.099019,0.099019,62769984
2022-06-19,0.098958,0.103849,0.092876,0.103019,0.103019,51522944
2022-06-20,0.102991,0.107966,0.097654,0.104180,0.104180,47507542
2022-06-21,0.104138,0.117479,0.102207,0.109450,0.109450,62508779
2022-06-22,0.109550,0.110376,0.104211,0.104866,0.104866,40261015
2022-06-23,0.104863,0.114340,0.104863,0.111587,0.111587,43891704
2022-06-24,0.111600,0.118954,0.109989,0.115973,0.115973,57737258
2022-06-25,0.115972,0.119971,0.110967,0.116549,0.116549,50327463
2022-06-26,0.116557,0.123016,0.108141,0.108141,0.108141,49173954
2022-06-27,0.108141,0.113920,0.107377,0.108250,0.108250,32058841
2022-06-28,0.108185,0.109424,0.099400,0.099930,0.099930,44977260
2022-06-29,0.099975,0.101878,0.093999,0.094578,0.094578,49409520
2022-06-30,0.094622,0.095420,0.089832,0.095284,0.095284,49292862
2022-07-01,0.095378,0.098323,0.090406,0.091979,0.091979,51980076
2022-07-02,0.092055,0.095582,0.090513,0.094083,0.094083,29977848
2022-07-03,0.094088,0.094982,0.091148,0.094381,0.094381,25696054
2022-07-04,0.094393,0.098463,0.091740,0.098250,0.098250,38280780
2022-07-05,0.098201,0.100926,0.092474,0.096568,0.096568,47333091
2022-07-06,0.096597,0.099307,0.095781,0.098859,0.098859,38448853
2022-07-07,0.098834,0.103641,0.098517,0.102642,0.102642,37190168
2022-07-08,0.102653,0.104297,0.097953,0.100081,0.100081,38959658
2022-07-09,0.100061,0.110166,0.099748,0.106287,0.106287,49189550
2022-07-10,0.106234,0.106234,0.099184,0.100217,0.100217,32614054
2022-07-11,0.100159,0.100159,0.091407,0.091699,0.091699,39742817
2022-07-12,0.091648,0.094157,0.087668,0.087749,0.087749,44126816
2022-07-13,0.087734,0.093885,0.085760,0.093885,0.093885,53841994
2022-07-14,0.093894,0.096760,0.090382,0.095971,0.095971,39100344
2022-07-15,0.095993,0.100050,0.095334,0.098612,0.098612,47134861
2022-07-16,0.098596,0.102515,0.096505,0.100910,0.100910,34384986
2022-07-17,0.100948,0.102467,0.098223,0.098336,0.098336,43392112
2022-07-18,0.098328,0.114409,0.098319,0.110813,0.110813,89233444
2022-07-19,0.110670,0.116269,0.106673,0.114542,0.114542,84672302
2022-07-20,0.114513,0.118130,0.104812,0.105244,0.105244,82526531
2022-07-21,0.105173,0.107945,0.101844,0.107273,0.107273,56363287
2022-07-22,0.107235,0.115247,0.104073,0.104319,0.104319,71322292
2022-07-23,0.104317,0.108184,0.101192,0.106289,0.106289,51688129
2022-07-24,0.106288,0.108208,0.105099,0.105198,0.105198,43575493
2022-07-25,0.105185,0.105577,0.096298,0.096308,0.096308,45918387
2022-07-26,0.096331,0.097771,0.093619,0.097188,0.097188,46003737
2022-07-27,0.097214,0.110705,0.094997,0.110705,0.110705,88337264
2022-07-28,0.110726,0.117317,0.106599,0.114891,0.114891,116093759
2022-07-29,0.114903,0.137263,0.114172,0.127480,0.127480,208811990
2022-07-30,0.127380,0.145388,0.126786,0.132281,0.132281,152037359
2022-07-31,0.132083,0.139424,0.127435,0.128331,0.128331,120020683
2022-08-01,0.128336,0.132400,0.122371,0.123867,0.123867,72891982
2022-08-02,0.123882,0.124860,0.114633,0.117749,0.117749,89739787
2022-08-03,0.117672,0.124002,0.114952,0.118133,0.118133,60321776
2022-08-04,0.118132,0.125606,0.117824,0.120168,0.120168,64763019
2022-08-05,0.120134,0.130823,0.120094,0.130705,0.130705,88853232
2022-08-06,0.130689,0.133190,0.127738,0.127738,0.127738,55407725
2022-08-07,0.127801,0.130767,0.125622,0.128153,0.128153,47359451
2022-08-08,0.128164,0.156933,0.128164,0.148689,0.148689,214347851
2022-08-09,0.148805,0.151907,0.136757,0.140244,0.140244,364717459
2022-08-10,0.140213,0.146480,0.136035,0.146311,0.146311,325138664
2022-08-11,0.146264,0.147766,0.140955,0.142114,0.142114,227813866
2022-08-12,0.142111,0.146862,0.138185,0.146862,0.146862,207474569
2022-08-13,0.146861,0.150483,0.141759,0.143751,0.143751,230963194
2022-08-14,0.143771,0.149411,0.138093,0.139589,0.139589,214535819
2022-08-15,0.139566,0.144724,0.132843,0.134470,0.134470,233443976
2022-08-16,0.134399,0.135615,0.129674,0.130446,0.130446,201526131
2022-08-17,0.130450,0.134317,0.122052,0.122457,0.122457,190882576
2022-08-18,0.122517,0.125115,0.115018,0.115032,0.115032,156988247
2022-08-19,0.115012,0.115403,0.104850,0.105885,0.105885,188748944
2022-08-20,0.105866,0.110312,0.100128,0.102893,0.102893,170894398
2022-08-21,0.102851,0.110296,0.102742,0.108348,0.108348,122709268
2022-08-22,0.108323,0.111171,0.101357,0.111089,0.111089,125785827
2022-08-23,0.111107,0.113771,0.107206,0.113439,0.113439,142175858
2022-08-24,0.113436,0.117876,0.110192,0.114891,0.114891,152363555
2022-08-25,0.114871,0.120016,0.113610,0.116024,0.116024,133056114
2022-08-26,0.116010,0.116059,0.101597,0.102409,0.102409,159075663
2022-08-27,0.102433,0.104173,0.100771,0.103522,0.103522,103948777
2022-08-28,0.103526,0.104603,0.099064,0.099105,0.099105,105022527
2022-08-29,0.099081,0.106302,0.098453,0.106271,0.106271,105079882
2022-08-30,0.106277,0.107939,0.100704,0.102948,0.102948,134611583
2022-08-31,0.102950,0.106760,0.102449,0.102749,0.102749,122356978
2022-09-01,0.102743,0.104868,0.100895,0.104791,0.104791,86400328
2022-09-02,0.104795,0.106583,0.102056,0.103028,0.103028,65693009
2022-09-03,0.103027,0.103354,0.101143,0.101644,0.101644,36784858
2022-09-04,0.101649,0.104482,0.101271,0.104364,0.104364,31310401
2022-09-05,0.104366,0.104985,0.100872,0.103915,0.103915,32886462
2022-09-06,0.103927,0.108535,0.097872,0.097914,0.097914,67564675
2022-09-07,0.097890,0.105285,0.096939,0.104164,0.104164,39388860
2022-09-08,0.104160,0.105141,0.101270,0.104114,0.104114,33357791
2022-09-09,0.104120,0.113215,0.104104,0.112582,0.112582,56265842
2022-09-10,0.112522,0.118086,0.112103,0.117254,0.117254,61951722
2022-09-11,0.117261,0.120662,0.114646,0.116620,0.116620,43664942
2022-09-12,0.116632,0.131856,0.115045,0.128206,0.128206,123720066
2022-09-13,0.128225,0.128573,0.107752,0.109593,0.109593,78753940
2022-09-14,0.108484,0.113183,0.107752,0.112711,0.112711,45172276
2022-09-15,0.112729,0.115355,0.107371,0.108451,0.108451,43519520
2022-09-16,0.108452,0.110018,0.104318,0.105646,0.105646,31741875
2022-09-17,0.105660,0.108944,0.105660,0.108892,0.108892,19699893
2022-09-18,0.108892,0.109262,0.098685,0.099811,0.099811,33081530
2022-09-19,0.099807,0.103455,0.098235,0.101505,0.101505,40217398
2022-09-20,0.101508,0.101772,0.096305,0.096748,0.096748,35751850
2022-09-21,0.096756,0.101368,0.091564,0.093630,0.093630,42847296
2022-09-22,0.093560,0.101281,0.093153,0.100345,0.100345,34938989
2022-09-23,0.100279,0.103600,0.097860,0.102930,0.102930,33949732
2022-09-24,0.102928,0.103872,0.100669,0.100845,0.100845,21456173
2022-09-25,0.100854,0.108446,0.100615,0.101532,0.101532,43307850
2022-09-26,0.101547,0.102551,0.099107,0.102454,0.102454,28853528
2022-09-27,0.102408,0.105387,0.098259,0.099468,0.099468,32875739
2022-09-28,0.099434,0.100005,0.095812,0.098751,0.098751,27383365
2022-09-29,0.098796,0.099347,0.097006,0.099066,0.099066,20109458
2022-09-30,0.099052,0.100864,0.097516,0.098675,0.098675,23040695
2022-10-01,0.098663,0.099265,0.097055,0.097577,0.097577,13687072
2022-10-02,0.097583,0.098130,0.094650,0.094666,0.094666,16824104
2022-10-03,0.094647,0.098020,0.093992,0.097895,0.097895,17511883
2022-10-04,0.097893,0.101542,0.097703,0.100995,0.100995,18669446
2022-10-05,0.100994,0.101130,0.097408,0.099998,0.099998,16491664
2022-10-06,0.100018,0.103617,0.099102,0.099437,0.099437,28211668
2022-10-07,0.099346,0.099729,0.096479,0.097782,0.097782,17935324
2022-10-08,0.097769,0.098481,0.096098,0.096357,0.096357,11421789
2022-10-09,0.096336,0.096839,0.096039,0.096417,0.096417,13338683
2022-10-10,0.096421,0.097091,0.091485,0.091485,0.091485,20082908
2022-10-11,0.091454,0.091455,0.088320,0.088644,0.088644,21976916
2022-10-12,0.088642,0.089525,0.087595,0.087729,0.087729,14285137
2022-10-13,0.087732,0.088637,0.079861,0.087966,0.087966,38328619
2022-10-14,0.087959,0.090526,0.084874,0.085521,0.085521,21904173
2022-10-15,0.085507,0.087348,0.083758,0.084725,0.084725,20688103
2022-10-16,0.084716,0.086604,0.084716,0.085923,0.085923,15354289
2022-10-17,0.085907,0.087727,0.084586,0.086832,0.086832,21730456
2022-10-18,0.086829,0.087386,0.082299,0.083228,0.083228,25466645
2022-10-19,0.083219,0.083367,0.078869,0.079126,0.079126,25134680
2022-10-20,0.079145,0.080979,0.077860,0.078102,0.078102,19073119
2022-10-21,0.078092,0.079457,0.075245,0.078713,0.078713,21020439
2022-10-22,0.078711,0.078895,0.077665,0.078243,0.078243,12868042
2022-10-23,0.078261,0.080166,0.076877,0.080048,0.080048,16550494
2022-10-24,0.080064,0.080593,0.078220,0.079682,0.079682,20413848
2022-10-25,0.079676,0.084058,0.079100,0.081200,0.081200,30972130
2022-10-26,0.081169,0.083356,0.081024,0.082590,0.082590,40461518
2022-10-27,0.082604,0.085410,0.080108,0.080108,0.080108,41764941
2022-10-28,0.080111,0.082945,0.079084,0.082312,0.082312,30231033
2022-10-29,0.082289,0.086326,0.082188,0.084118,0.084118,44842616
2022-10-30,0.084142,0.087529,0.082766,0.083640,0.083640,61879670
2022-10-31,0.083621,0.086197,0.081663,0.084407,0.084407,37289606
2022-11-01,0.084404,0.087099,0.082290,0.082306,0.082306,31576642
2022-11-02,0.082292,0.084178,0.079814,0.081304,0.081304,32155739
2022-11-03,0.081321,0.095613,0.081194,0.087016,0.087016,94261039
2022-11-04,0.087003,0.097693,0.085851,0.094870,0.094870,108989145
2022-11-05,0.094877,0.104187,0.094869,0.098473,0.098473,103752534
2022-11-06,0.098469,0.099717,0.090321,0.090422,0.090422,51123857
2022-11-07,0.090396,0.092554,0.087186,0.090509,0.090509,49675452
2022-11-08,0.090497,0.091808,0.070571,0.075497,0.075497,96630066
2022-11-09,0.075498,0.076658,0.057292,0.058114,0.058114,79465989
2022-11-10,0.058132,0.071767,0.057778,0.069636,0.069636,49588147
2022-11-11,0.069620,0.070350,0.063648,0.065879,0.065879,31783856
2022-11-12,0.065905,0.066044,0.060511,0.061933,0.061933,17003713
2022-11-13,0.061963,0.064364,0.060530,0.061657,0.061657,23076761
2022-11-14,0.061630,0.063893,0.058530,0.063724,0.063724,24719966
2022-11-15,0.063730,0.066794,0.063355,0.064211,0.064211,20069376
2022-11-16,0.064216,0.065158,0.060977,0.061871,0.061871,16427720
